,X,Y
680,65684,5760
681,65940,5760
682,66452,5760
683,66708,5760
684,66964,5760
685,67476,5760
686,67732,5760
687,68244,5760
688,68500,5760
689,69268,5760
690,69780,5760
691,70804,5760
692,71060,5760
693,71316,5760
694,71572,5760
695,72084,5760
696,72852,5760
697,73108,5760
698,73364,5760
699,73876,5760
700,74388,5760
701,74644,5760
702,74900,5760
703,75412,5760
704,75668,5760
705,47344,6000
706,48624,6000
707,49136,6000
708,49392,6000
709,49904,6000
710,51184,6000
711,52208,6000
712,52720,6000
713,52976,6000
714,53232,6000
715,53488,6000
716,54000,6000
717,54256,6000
718,55792,6000
719,56048,6000
720,56304,6000
721,58352,6000
722,59376,6000
723,62100,6016
724,62868,6016
725,63124,6016
726,64660,6016
727,64916,6016
728,65684,6016
729,66196,6016
730,66452,6016
731,66708,6016
732,67732,6016
733,68244,6016
734,68756,6016
735,69012,6016
736,69780,6016
737,70292,6016
738,71060,6016
739,71316,6016
740,71828,6016
741,72596,6016
742,72852,6016
743,73108,6016
744,73364,6016
745,73876,6016
746,74132,6016
747,74644,6016
748,74900,6016
749,75156,6016
750,75924,6016
751,76180,6016
752,46832,6256
753,47088,6256
754,47344,6256
755,48112,6256
756,48624,6256
757,49136,6256
758,49392,6256
759,49904,6256
760,50160,6256
761,50416,6256
762,50672,6256
763,51184,6256
764,51440,6256
765,51696,6256
766,52208,6256
767,52464,6256
768,52720,6256
769,52976,6256
770,53232,6256
771,53488,6256
772,54256,6256
773,54512,6256
774,55280,6256
775,55536,6256
776,56560,6256
777,57840,6256
778,58096,6256
779,58352,6256
780,58608,6256
781,59120,6256
782,59376,6256
783,59632,6256
784,63380,6272
785,64916,6272
786,65172,6272
787,65428,6272
788,65684,6272
789,65940,6272
790,66196,6272
791,67476,6272
792,67988,6272
793,68244,6272
794,68500,6272
795,69268,6272
796,69524,6272
797,69780,6272
798,70292,6272
799,71060,6272
800,72084,6272
801,73108,6272
802,73364,6272
803,73620,6272
804,73876,6272
805,74132,6272
806,74644,6272
807,75412,6272
808,76180,6272
809,76436,6272
810,46832,6512
811,47344,6512
812,47600,6512
813,47856,6512
814,48112,6512
815,48368,6512
816,49136,6512
817,49392,6512
818,49904,6512
819,50928,6512
820,51440,6512
821,52208,6512
822,52976,6512
823,54000,6512
824,54768,6512
825,55280,6512
826,55792,6512
827,56048,6512
828,56304,6512
829,56560,6512
830,56816,6512
831,57072,6512
832,58608,6512
833,58864,6512
834,59632,6512
835,59888,6512
836,60144,6512
837,62612,6528
838,63380,6528
839,63636,6528
840,63892,6528
841,64148,6528
842,64916,6528
843,65684,6528
844,66196,6528
845,66452,6528
846,66708,6528
847,67988,6528
848,69012,6528
849,70292,6528
850,70804,6528
851,71060,6528
852,72596,6528
853,72852,6528
854,73108,6528
855,73876,6528
856,74388,6528
857,74644,6528
858,74900,6528
859,75412,6528
860,76436,6528
861,46576,6768
862,46832,6768
863,47088,6768
864,48624,6768
865,48880,6768
866,49136,6768
867,49904,6768
868,50160,6768
869,51696,6768
870,52208,6768
871,52464,6768
872,52720,6768
873,53232,6768
874,53488,6768
875,54000,6768
876,54512,6768
877,55024,6768
878,55280,6768
879,55536,6768
880,55792,6768
881,56048,6768
882,56304,6768
883,56816,6768
884,57072,6768
885,57584,6768
886,58096,6768
887,58352,6768
888,58608,6768
889,58864,6768
890,59376,6768
891,60656,6768
892,62612,6784
893,63380,6784
894,63636,6784
895,63892,6784
896,64148,6784
897,64404,6784
898,64660,6784
899,64916,6784
900,65172,6784
901,65428,6784
902,66196,6784
903,67220,6784
904,67476,6784
905,68244,6784
906,69012,6784
907,69268,6784
908,70036,6784
909,70292,6784
910,70804,6784
911,71060,6784
912,71572,6784
913,72084,6784
914,72340,6784
915,73620,6784
916,74644,6784
917,75156,6784
918,75668,6784
919,75924,6784
920,76436,6784
921,76692,6784
922,46320,7024
923,46576,7024
924,47344,7024
925,47600,7024
926,47856,7024
927,48368,7024
928,49136,7024
929,49904,7024
930,50672,7024
931,51184,7024
932,51696,7024
933,51952,7024
934,52464,7024
935,52720,7024
936,53232,7024
937,53744,7024
938,54256,7024
939,54768,7024
940,55280,7024
941,56304,7024
942,56816,7024
943,57328,7024
944,58096,7024
945,58352,7024
946,58864,7024
947,59120,7024
948,59376,7024
949,59632,7024
950,60400,7024
951,60656,7024
952,60912,7024
953,63380,7040
954,63636,7040
955,63892,7040
956,64148,7040
957,64660,7040
958,65428,7040
959,65684,7040
